frame,x,y
266.0,61.0,81.0
267.0,63.0,100.0
268.0,66.0,122.0
269.0,70.0,138.0
270.0,73.0,164.0
271.0,76.0,189.0
272.0,78.0,216.0
273.0,81.0,243.0
274.0,83.0,269.0
275.0,84.0,294.0
276.0,86.0,319.0
277.0,86.0,342.0
278.0,86.0,363.0
279.0,85.0,390.0
280.0,86.0,406.0
281.0,87.0,420.0
282.0,87.0,430.0
283.0,86.0,437.0
284.0,86.0,441.0
285.0,86.0,442.0
286.0,86.0,441.0
287.0,88.0,436.0
288.0,89.0,429.0
289.0,89.0,418.0
290.0,89.0,405.0
291.0,91.0,390.0
292.0,91.0,371.0
293.0,92.0,351.0
294.0,95.0,322.0
295.0,95.0,299.0
296.0,94.0,275.0
297.0,93.0,250.0
298.0,90.0,233.0
299.0,89.0,201.0
300.0,85.0,185.0
301.0,82.0,162.0
302.0,79.0,139.0
303.0,76.0,119.0
304.0,72.0,99.0
305.0,69.0,82.0
306.0,66.0,66.0
307.0,62.0,53.0
308.0,59.0,43.0
309.0,57.0,35.0
310.0,57.0,31.0
311.0,54.0,30.0
312.0,54.0,33.0
313.0,54.0,39.0
314.0,56.0,49.0
315.0,58.0,62.0
316.0,60.0,77.0
317.0,61.0,94.0
318.0,65.0,115.0
319.0,69.0,130.0
320.0,71.0,153.0
321.0,73.0,179.0
322.0,75.0,204.0
323.0,77.0,230.0
324.0,79.0,257.0
325.0,80.0,282.0
326.0,82.0,308.0
327.0,82.0,332.0
328.0,82.0,354.0
329.0,82.0,374.0
330.0,80.0,399.0
331.0,82.0,413.0
332.0,82.0,425.0
333.0,82.0,434.0
334.0,82.0,440.0
335.0,83.0,442.0
336.0,85.0,442.0
337.0,87.0,439.0
338.0,87.0,433.0
339.0,88.0,424.0
340.0,89.0,413.0
341.0,90.0,398.0
342.0,90.0,381.0
343.0,91.0,362.0
344.0,94.0,335.0
345.0,93.0,312.0
346.0,92.0,289.0
347.0,90.0,264.0
348.0,88.0,240.0
349.0,86.0,216.0
350.0,83.0,199.0
351.0,81.0,175.0
352.0,77.0,153.0
353.0,73.0,130.0
354.0,69.0,109.0
355.0,66.0,91.0
356.0,64.0,74.0
357.0,61.0,60.0
358.0,58.0,48.0
359.0,57.0,39.0
360.0,55.0,33.0
361.0,54.0,30.0
362.0,54.0,31.0
363.0,54.0,35.0
364.0,55.0,43.0
365.0,57.0,53.0
366.0,59.0,67.0
367.0,60.0,84.0
368.0,63.0,103.0
369.0,65.0,124.0
370.0,69.0,140.0
371.0,71.0,164.0
372.0,72.0,189.0
373.0,74.0,215.0
374.0,75.0,240.0
375.0,76.0,267.0
376.0,78.0,292.0
377.0,78.0,317.0
378.0,78.0,339.0
379.0,78.0,361.0
380.0,77.0,387.0
381.0,76.0,404.0
382.0,77.0,418.0
383.0,79.0,428.0
384.0,80.0,435.0
385.0,81.0,439.0
386.0,81.0,441.0
387.0,82.0,439.0
388.0,84.0,435.0
389.0,86.0,427.0
390.0,87.0,418.0
391.0,86.0,405.0
392.0,86.0,390.0
393.0,87.0,373.0
394.0,87.0,353.0
395.0,86.0,332.0
396.0,84.0,309.0
397.0,84.0,278.0
398.0,83.0,254.0
399.0,79.0,237.0
400.0,76.0,212.0
401.0,73.0,189.0
402.0,70.0,165.0
403.0,68.0,143.0
404.0,65.0,123.0
405.0,61.0,103.0
406.0,58.0,85.0
407.0,56.0,70.0
408.0,54.0,56.0
409.0,52.0,46.0
410.0,51.0,38.0
411.0,51.0,33.0
412.0,50.0,32.0
413.0,50.0,35.0
414.0,51.0,41.0
415.0,52.0,50.0
416.0,53.0,62.0
417.0,55.0,77.0
418.0,56.0,94.0
419.0,58.0,114.0
420.0,62.0,129.0
421.0,64.0,152.0
422.0,66.0,177.0
423.0,66.0,201.0
424.0,68.0,227.0
425.0,70.0,253.0
426.0,71.0,278.0
427.0,73.0,303.0
428.0,75.0,326.0
429.0,76.0,348.0
430.0,76.0,375.0
431.0,77.0,392.0
432.0,78.0,407.0
433.0,79.0,418.0
434.0,81.0,427.0
435.0,82.0,433.0
436.0,83.0,436.0
437.0,83.0,436.0
438.0,84.0,433.0
439.0,85.0,427.0
440.0,86.0,419.0
441.0,87.0,408.0
442.0,86.0,395.0
443.0,86.0,379.0
444.0,85.0,361.0
445.0,84.0,341.0
446.0,84.0,311.0
447.0,83.0,288.0
448.0,82.0,265.0
449.0,79.0,241.0
450.0,77.0,217.0
451.0,75.0,192.0
452.0,73.0,169.0
453.0,70.0,154.0
454.0,67.0,132.0
455.0,65.0,113.0
456.0,62.0,94.0
457.0,61.0,78.0
458.0,59.0,64.0
459.0,56.0,52.0
460.0,55.0,43.0
461.0,54.0,37.0
462.0,53.0,35.0
463.0,53.0,35.0
464.0,52.0,39.0
465.0,52.0,47.0
466.0,53.0,57.0
467.0,53.0,70.0
468.0,54.0,86.0
469.0,55.0,105.0
470.0,58.0,118.0
471.0,59.0,147.0
472.0,63.0,164.0
473.0,65.0,188.0
474.0,67.0,213.0
475.0,68.0,246.0
476.0,72.0,264.0
477.0,75.0,289.0
478.0,76.0,313.0
479.0,77.0,335.0
480.0,79.0,355.0
481.0,79.0,381.0
482.0,80.0,398.0
483.0,83.0,410.0
484.0,85.0,420.0
485.0,85.0,427.0
486.0,85.0,432.0
487.0,85.0,433.0
488.0,86.0,432.0
489.0,86.0,428.0
490.0,86.0,421.0
491.0,87.0,411.0
492.0,85.0,399.0
493.0,84.0,385.0
494.0,84.0,367.0
495.0,85.0,347.0
496.0,84.0,327.0
497.0,85.0,297.0
498.0,85.0,274.0
499.0,84.0,251.0
500.0,83.0,227.0
501.0,82.0,202.0
502.0,79.0,186.0
503.0,77.0,163.0
504.0,75.0,141.0
505.0,73.0,120.0
506.0,70.0,101.0
507.0,66.0,84.0
508.0,62.0,68.0
509.0,57.0,54.0
510.0,55.0,45.0
511.0,53.0,37.0
512.0,52.0,33.0
