frame,x,y
305.0,87.0,67.0
306.0,84.0,52.0
307.0,81.0,40.0
308.0,79.0,35.0
314.0,75.0,36.0
315.0,77.0,49.0
316.0,78.0,63.0
317.0,80.0,80.0
318.0,83.0,100.0
319.0,86.0,121.0
320.0,88.0,145.0
321.0,90.0,170.0
322.0,92.0,195.0
323.0,94.0,221.0
324.0,96.0,247.0
325.0,97.0,273.0
326.0,99.0,299.0
327.0,99.0,323.0
328.0,99.0,345.0
329.0,99.0,366.0
330.0,99.0,384.0
331.0,100.0,400.0
332.0,100.0,410.0
333.0,100.0,419.0
334.0,100.0,425.0
335.0,101.0,428.0
336.0,103.0,428.0
337.0,105.0,424.0
338.0,105.0,418.0
339.0,107.0,409.0
340.0,108.0,397.0
341.0,109.0,384.0
342.0,109.0,366.0
343.0,110.0,347.0
344.0,111.0,326.0
345.0,110.0,303.0
346.0,109.0,279.0
347.0,107.0,255.0
348.0,105.0,231.0
349.0,103.0,206.0
350.0,102.0,183.0
351.0,99.0,159.0
352.0,95.0,136.0
353.0,91.0,115.0
354.0,88.0,95.0
355.0,85.0,77.0
356.0,83.0,61.0
357.0,80.0,48.0
358.0,77.0,35.0
364.0,75.0,35.0
365.0,76.0,40.0
366.0,78.0,55.0
367.0,79.0,69.0
368.0,82.0,88.0
369.0,84.0,108.0
370.0,86.0,131.0
371.0,88.0,155.0
372.0,89.0,179.0
373.0,91.0,205.0
374.0,92.0,231.0
375.0,93.0,257.0
376.0,95.0,283.0
377.0,95.0,307.0
378.0,95.0,330.0
379.0,96.0,352.0
380.0,96.0,372.0
381.0,95.0,389.0
382.0,96.0,404.0
383.0,97.0,412.0
384.0,98.0,420.0
385.0,99.0,425.0
386.0,99.0,426.0
387.0,100.0,425.0
388.0,103.0,420.0
389.0,104.0,412.0
390.0,105.0,402.0
391.0,105.0,391.0
392.0,105.0,375.0
393.0,106.0,357.0
394.0,106.0,337.0
395.0,105.0,316.0
396.0,103.0,293.0
397.0,101.0,269.0
398.0,100.0,245.0
399.0,98.0,221.0
400.0,95.0,196.0
401.0,92.0,173.0
402.0,89.0,150.0
403.0,86.0,127.0
404.0,83.0,107.0
405.0,80.0,89.0
406.0,77.0,72.0
407.0,75.0,57.0
408.0,73.0,44.0
409.0,71.0,35.0
414.0,70.0,35.0
415.0,71.0,38.0
416.0,72.0,49.0
417.0,73.0,63.0
418.0,75.0,80.0
419.0,77.0,99.0
420.0,79.0,120.0
421.0,81.0,143.0
422.0,83.0,169.0
423.0,83.0,192.0
424.0,85.0,218.0
425.0,87.0,244.0
426.0,88.0,269.0
427.0,90.0,294.0
428.0,92.0,318.0
429.0,93.0,339.0
430.0,95.0,359.0
431.0,96.0,377.0
432.0,96.0,393.0
433.0,97.0,402.0
434.0,99.0,412.0
435.0,100.0,418.0
436.0,101.0,422.0
437.0,102.0,422.0
438.0,102.0,419.0
439.0,103.0,412.0
440.0,104.0,404.0
441.0,105.0,392.0
442.0,105.0,381.0
443.0,105.0,364.0
444.0,104.0,345.0
445.0,103.0,325.0
446.0,101.0,302.0
447.0,101.0,280.0
448.0,99.0,255.0
449.0,96.0,231.0
450.0,94.0,207.0
451.0,92.0,183.0
452.0,90.0,160.0
453.0,88.0,138.0
454.0,86.0,117.0
455.0,83.0,98.0
456.0,81.0,80.0
457.0,80.0,65.0
458.0,78.0,51.0
459.0,75.0,39.0
460.0,75.0,35.0
465.0,71.0,35.0
466.0,72.0,45.0
467.0,72.0,57.0
468.0,73.0,72.0
469.0,74.0,90.0
470.0,75.0,110.0
471.0,77.0,131.0
472.0,80.0,155.0
473.0,82.0,180.0
474.0,84.0,205.0
